employeeId,name,mobile,email,importance,maxWeeklyShifts,minWeeklyShifts
employee1234567,Homer,+61411999700,Homer@fakeemail7632456745321345678654321345.com,13,5,1
employee1234568,Marge,+61411999701,Marge@fakeemail7632456745321345678654321345.com,13,5,1
employee1234569,Bart,+61411999702,Bart@fakeemail7632456745321345678654321345.com,13,4,1
employee1234570,Lisa,+61411999703,Lisa@fakeemail7632456745321345678654321345.com,13,6,1
employee1234571,Moe,+61411999704,Moe@fakeemail7632456745321345678654321345.com,12,2,1
employee1234572,Apu,+61411999705,Apu@fakeemail7632456745321345678654321345.com,11,4,4
employee1234573,Clancy,+61411999706,Clancy@fakeemail7632456745321345678654321345.com,10,,
employee1234574,Barney,+61411999707,Barney@fakeemail7632456745321345678654321345.com,9,,
employee1234575,Ned,+61411999708,Ned@fakeemail7632456745321345678654321345.com,8,,
employee1234576,Milhouse,+61411999709,Milhouse@fakeemail7632456745321345678654321345.com,7,,
employee1234577,Edna,+61411999710,Edna@fakeemail7632456745321345678654321345.com,7,,
employee1234578,Nelson,+61411999711,Nelson@fakeemail7632456745321345678654321345.com,6,,
employee1234579,Ralph,+61411999712,Ralph@fakeemail7632456745321345678654321345.com,6,,
employee1234580,Krusty,+61411999713,Krusty@fakeemail7632456745321345678654321345.com,5,,
employee1234581,Waylon,+61411999714,Waylon@fakeemail7632456745321345678654321345.com,4,,
employee1234582,Carl,+61411999715,Carl@fakeemail7632456745321345678654321345.com,3,,
employee1234583,Patty,+61411999716,Patty@fakeemail7632456745321345678654321345.com,2,,
employee1234584,Selma,+61411999717,Selma@fakeemail7632456745321345678654321345.com,2,,
employee1234585,Lenny,+61411999718,Lenny@fakeemail7632456745321345678654321345.com,1,,
employee1234586,Hans,+61411999719,Hans@fakeemail7632456745321345678654321345.com,1,,
