employeeId,name,mobile,email,importance,maxWeeklyShifts,minWeeklyShifts
employee1,Homer,+61411999700,Homer@fakeemail7632456745321345678654321345.com,3,3,1
employee2,Marge,+61411999701,Marge@fakeemail7632456745321345678654321345.com,10,,5
employee3,Bart,+61411999702,Bart@fakeemail7632456745321345678654321345.com,5,2,1
employee4,Lisa,+61411999703,Lisa@fakeemail7632456745321345678654321345.com,4,2,1
employee5,Moe,+61411999704,Moe@fakeemail7632456745321345678654321345.com,4,1,1
employee6,Apu,+61411999705,Apu@fakeemail7632456745321345678654321345.com,4,2,1
employee7,Clancy,+61411999706,Clancy@fakeemail7632456745321345678654321345.com,4,4,1
employee8,Barney,+61411999707,Barney@fakeemail7632456745321345678654321345.com,4,1,1
employee9,Ned,+61411999708,Ned@fakeemail7632456745321345678654321345.com,1,1,1
employee10,Milhouse,+61411999709,Milhouse@fakeemail7632456745321345678654321345.com,2,2,1
employee11,Edna,+61411999710,Edna@fakeemail7632456745321345678654321345.com,1,2,1
employee12,Nelson,+61411999711,Nelson@fakeemail7632456745321345678654321345.com,1,1,1
employee13,Ralph,+61411999712,Ralph@fakeemail7632456745321345678654321345.com,1,1,1
employee14,Krusty,+61411999713,Krusty@fakeemail7632456745321345678654321345.com,2,2,1
employee15,Waylon,+61411999714,Waylon@fakeemail7632456745321345678654321345.com,2,2,1
employee16,Carl,+61411999715,Carl@fakeemail7632456745321345678654321345.com,4,2,1
employee17,Patty,+61411999716,Patty@fakeemail7632456745321345678654321345.com,5,3,1
employee18,Selma,+61411999716,Selma@fakeemail7632456745321345678654321345.com,5,3,1
employee19,Lenny,+61411999717,Lenny@fakeemail7632456745321345678654321345.com,5,2,1
employee20,Hans,+61411999718,Hans@fakeemail7632456745321345678654321345.com,4,3,1
employee21,Itchy,+61411999719,Itchy@fakeemail7632456745321345678654321345.com,5,1,1
employee22,Scratchy,+61411999720,Scratchy@fakeemail7632456745321345678654321345.com,3,2,1
employee23,Otto,+61411999721,Otto@fakeemail7632456745321345678654321345.com,8,2,2
employee24,Todd,+61411999722,Todd@fakeemail7632456745321345678654321345.com,4,2,1
employee25,Jimbo,+61411999723,Jimbo@fakeemail7632456745321345678654321345.com,3,2,1
employee26,Maude,+61411999724,Maude@fakeemail7632456745321345678654321345.com,5,2,1
employee27,Troy,+61411999725,Troy@fakeemail7632456745321345678654321345.com,5,3,1
employee28,Artie,+61411999726,Artie@fakeemail7632456745321345678654321345.com,8,2,2
